SKU,Description,Cost
SSA0F61351,SP E52667v3                            ,
000000C62639,SP E52670v2                            ,
SSA0F61354,SP E52670v3                            ,
000000C62638,SP E52680v2                            ,
SSA0F61355,SP E52680v3                            ,
SSA0F61348,SP E52683v3                            ,
SSA0F61358,SP E52685v3                            ,
000000C62661,SP E52687Wv2                           ,
SSA0F61359,SP E52687Wv3                           ,
000000C62637,SP E52690v2                            ,
SSA0F61356,SP E52690v3                            ,
000000C62636,SP E52695v2                            ,
SSA0F61347,SP E52695v3                            ,
000000C62635,SP E52697v2                            ,
SSA0F61369,SP E52697v3                            ,
SSA0F61349,SP E52698v3                            ,
SSA0F61350,SP E52699v3                            ,
000000C00240,SP G1620,
SSA0D93090,SP G1820                                ,
SSA0D93091,SP G1820T                               ,
SSA0F61309,SP G1840                                ,
SSA0D93116,SP G1840T                               ,
000000C62588,SP G2030                                ,
SSA0D93065,SP G3220                                ,
SSA0D93069,SP G3220T                               ,
SSA0D93121,SP G3240                                ,
SSA0D93118,SP G3240T                               ,
SSA0F61454,SP G3260 3.3GHz/                        ,
SSA0F61456,SP G3260T 2.9GHz/                       ,
000000C62680,SP G3420                                ,
SSA0D93068,SP G3420T                               ,
SSA0D93063,SP G3430                                ,
SSA0F61459,SP G3460T 3.0GHz/                       ,
SSA0F66633,SP G4400 3.3GHz/2C/3M 65W               ,
000000C62590,SP G470                                 ,
SSA0F66605,SP I G3250  3.2/2C/3M/1333/1150/53 CPU  ,
SSA0F66606,SP I G3250T 2.8/2C/3M/1333/1150/35 CPU  ,
SSA0D93122,SP G3440                                ,
SSA0D93123,SP I G3450 3.4/1600/2C/3M/1150/54 CPU,
SSA0F66610,SP I G3450T 2.9/2C/3M/1600/1150/35 CPU  ,
SSA0F66608,SP I G3460 3.5/2C/3M/1600/1150/53 CPU   ,
SSA0F66635,SP I G3900 2.8GHz/2C/2M 65W CPU         ,
SSA0F66640,SP I G3900T 2.6GHz/2C/2M 35W CPU        ,
SSA0F66634,SP I G3920 2.9GHz/2C/2M 65W CPU         ,
SSA0F66639,SP I G4400T 2.9GHz/2C/3M 35W CPU        ,
SSA0F66632,SP I G4500 3.5GHz/2C/3M 65W CPU         ,
SSA0F66638,SP I G4500T 3.0GHz/2C/3M 35W CPU        ,
SSA0F66631,SP I G4520 3.6GHz/2C/3M 65W CPU         ,
SSA0F66603,SP I I34160 3.6/2C/3M/1600/1150/54 CPU ,
SSA0F66604,SP I I34160T 3.1/2C/3M/1600/1150/35 CPU,
SSA0D93126,SP I34350                              ,
SSA0D93125,SP I34350T                             ,
SSA0D93127,SP I34360                              ,
SSA0F66609,SP I I34360T 3.2/2C/4M/1600/1150/35 CPU,
SSA0F66607,SP I I34370 3.8/2C/4M/1600/1150/54 CPU ,
SSA0F66630,SP I I36100 3.7GHz/2C/3M 51W CPU       ,
SSA0F66637,SP I I36100T 3.2GHz/2C/3M 35W CPU      ,
SSA0F66636,SP I I36300T 3.3GHz/2C/4M 35W CPU      ,
SSA0D93132,SP I54590S                             ,
SSA0D93133,SP I54690S                             ,
SSA0F66622,SP I I56400 2.7GHz/4C/6M 65W           ,
SSA0F66646,SP I I56400 2.7GHz/4C/6M 65W           ,
SSA0F66626,SP I I56400T 2.2GHz/4C/6M 35W SR2BS    ,
SSA0F66650,SP I I56400T 2.2GHz/4C/6M 35W          ,
SSA0F66625,SP I I56500T 2.5GHz/4C/6M 35W          ,
SSA0F66649,SP I I56500T 2.5GHz/4C/6M 35W          ,
SSA0F66642,SP I I5-6600K 3.5GHz/4C/6M 95W SR2L4,
SSA0F66624,SP I I56600T 2.7GHz/4C/6M 35W          ,
SSA0F66648,SP I I56600T 2.7GHz/4C/6M 35W          ,
